X,Y,Thickness
266914.55,571881.53,37.83
267414.55,571881.53,53.21
267914.55,571881.53,40.54
268414.55,571881.53,32.07
268914.55,571881.53,49.49
269414.55,571881.53,57.74
230914.55,572381.53,65.96
231414.55,572381.53,67.15
231914.55,572381.53,65.71
232414.55,572381.53,63.67
232914.55,572381.53,58.37
233414.55,572381.53,57.05
233914.55,572381.53,61.51
234414.55,572381.53,66.73
234914.55,572381.53,69.8
235414.55,572381.53,72.57
235914.55,572381.53,72.84
236414.55,572381.53,72.02
236914.55,572381.53,73.23
237414.55,572381.53,73.66
237914.55,572381.53,73.69
238414.55,572381.53,75.65
238914.55,572381.53,69.2
239414.55,572381.53,57.33
239914.55,572381.53,55.37
240414.55,572381.53,54.77
240914.55,572381.53,59.7
241414.55,572381.53,68.2
241914.55,572381.53,72.08
242414.55,572381.53,63.48
242914.55,572381.53,51.69
243414.55,572381.53,41.76
243914.55,572381.53,38.42
244414.55,572381.53,36.75
244914.55,572381.53,44.41
245414.55,572381.53,37.88
245914.55,572381.53,22.31
246414.55,572381.53,21.87
246914.55,572381.53,21.62
247414.55,572381.53,22.91
247914.55,572381.53,22.66
248414.55,572381.53,25.83
248914.55,572381.53,32.65
249414.55,572381.53,34.28
249914.55,572381.53,33.31
250414.55,572381.53,37.41
250914.55,572381.53,37.89
251414.55,572381.53,37.1
251914.55,572381.53,38.33
252414.55,572381.53,35.4
252914.55,572381.53,32.38
253414.55,572381.53,31.01
253914.55,572381.53,31.61
254414.55,572381.53,29.52
254914.55,572381.53,29.36
255414.55,572381.53,27.95
255914.55,572381.53,34.14
256414.55,572381.53,45.92
256914.55,572381.53,50.61
257414.55,572381.53,29.03
257914.55,572381.53,21.29
258414.55,572381.53,20.41
258914.55,572381.53,25.28
259414.55,572381.53,22.91
259914.55,572381.53,21.85
260414.55,572381.53,26
260914.55,572381.53,28.53
261414.55,572381.53,26.73
261914.55,572381.53,25.19
262414.55,572381.53,23.06
262914.55,572381.53,22.98
263414.55,572381.53,20.91
263914.55,572381.53,19.29
264414.55,572381.53,21.73
264914.55,572381.53,3.91
265414.55,572381.53,30.97
265914.55,572381.53,47.01
266414.55,572381.53,49.97
